Generation,AverageFitness,MaxFitness,MinFitness,StandardDeviation,TotalFitness,CumulativeTrainingScore
0,61.00021,1770.286,-487.0389,614.0379,3050.01,3050.01
1,1361.405,1837.952,-100,741.3053,68070.27,71120.27
2,705.2542,1886.514,-488.7526,760.4199,35262.71,106383
3,-92.91095,1767.923,-481.525,284.9311,-4645.547,101737.4
4,-85.97565,601.2181,-100,98.17053,-4298.782,97438.66
5,-107.4973,-100,-474.8662,52.48125,-5374.866,92063.79
6,-70.77355,659.2756,-100,143.2941,-3538.677,88525.11
7,-70.12504,1769.936,-476.188,268.0877,-3506.252,85018.86
8,-114.9897,-100,-475.0232,73.43439,-5749.486,79269.38
9,-107.5307,-100,-476.5342,52.7148,-5376.534,73892.84
10,-114.9957,-100,-476.3872,73.46435,-5749.786,68143.05
11,-100,-100,-100,0,-5000,63143.05
12,-93.22133,612.5752,-473.6416,113.5847,-4661.066,58481.99
13,-70.22732,1766.988,-478.3543,267.7491,-3511.366,54970.62
14,-100,-100,-100,0,-5000,49970.62
15,-100,-100,-100,0,-5000,44970.62
16,-100,-100,-100,0,-5000,39970.62
17,-93.54771,598.0358,-475.4214,111.9029,-4677.386,35293.23
18,-100,-100,-100,0,-5000,30293.23
19,-100,-100,-100,0,-5000,25293.23
20,-114.98,-100,-476.7567,73.38823,-5749.001,19544.23
21,-107.5483,-100,-477.4152,52.83813,-5377.415,14166.82
22,-85.61342,619.3293,-100,100.7061,-4280.671,9886.148
23,-100,-100,-100,0,-5000,4886.148
24,-100,-100,-100,0,-5000,-113.8516
25,-100,-100,-100,0,-5000,-5113.852
26,-100,-100,-100,0,-5000,-10113.85
27,-100,-100,-100,0,-5000,-15113.85
28,-107.5969,-100,-479.8473,53.17862,-5379.847,-20493.7
29,-92.59803,646.9298,-476.8312,118.0819,-4629.901,-25123.6
30,-170.0848,-100,-486.0953,77.27067,-8504.242,-33627.84
31,-107.557,-100,-477.8498,52.89898,-5377.85,-39005.7
32,-93.6335,595.7192,-477.3939,111.7519,-4681.675,-43687.37
33,-107.5027,-100,-475.1338,52.5188,-5375.134,-49062.5
34,-100,-100,-100,0,-5000,-54062.5
35,-100,-100,-100,0,-5000,-59062.5
36,-107.4496,-100,-472.4794,52.14714,-5372.479,-64434.98
37,-107.4968,-100,-474.8377,52.47729,-5374.838,-69809.82
38,-107.5163,-100,-475.8152,52.61413,-5375.815,-75185.63
39,-107.55,-100,-477.5023,52.85031,-5377.502,-80563.13
40,-100,-100,-100,0,-5000,-85563.13
41,-100,-100,-100,0,-5000,-90563.13
42,-100,-100,-100,0,-5000,-95563.13

TotalTrainingScore,-95563.13
